ticket_id,created_at,resolved_at,channel,category,subcategory,priority,status,sentiment,product,customer_plan,region,language,assigned_agent,message,resolution_note,resolution_time_hrs,csat_score,first_response_time_hrs,reopened,escalated,num_interactions,customer_tenure_days
TKT-00024,2024-01-22 15:36:00,2024-01-23 12:30:00,email,Account Access,Account locked,Medium,Closed,Negative,TaskBoard,Free,South Asia,French,Agent_008 (Daniel N),I need to update the email address associated with my account.,Refund processed,20.9,2.9,8.0,False,False,5,1357
TKT-00025,2025-04-18 20:03:00,2025-04-19 10:03:00,chat,General Inquiry,Compatibility,High,Resolved,Negative,DataDash,Enterprise,Europe,English,Unassigned,I'm interested in a partnership opportunity with your company.,Escalated to engineering,14.0,2.3,,True,False,7,191
TKT-00026,2025-04-28 14:29:00,2025-04-29 16:05:00,chat,Technical Issue,Feature not working,High,Escalated,Neutral,InvoiceFlow,Enterprise,North America,German,Agent_004 (Omar F),I'm unable to invite a team member since the latest update. Getting error code ERR-448.,Refund processed,25.6,,20.1,False,True,11,1003
TKT-00027,2025-02-24 08:20:00,2025-02-27 07:56:00,helpdesk_portal,Refund / Return,Refund status,Medium,Resolved,Negative,TaskBoard,Enterprise,Europe,Japanese,Agent_002 (James T),What's the status of refund request #REF-8486? It's been 3 days.,Self-service guided,71.6,2.7,9.9,False,False,3,154
TKT-00028,2025-05-14 08:39:00,2025-05-14 12:27:00,helpdesk_portal,Account Access,2FA issue,Critical,Resolved,Neutral,InvoiceFlow,Enterprise,Middle East,English,Agent_003 (Lena K),My account appears to be locked. I haven't violated any terms.,Escalated to engineering,3.8,3.4,10.4,False,False,7,1160
TKT-00029,2024-01-10 21:57:00,2024-01-14 03:21:00,whatsapp,Feature Request,Dark mode,Low,Resolved,Neutral,DataDash,Professional,Southeast Asia,English,Agent_006 (Raj P),"Can you add an option to export reports in Excel format, not just CSV?",Self-service guided,77.4,3.4,8.7,False,False,12,605
TKT-00030,2024-08-23 18:14:00,,phone,Billing,Incorrect amount,High,Open,Negative,TaskBoard,Enterprise,Southeast Asia,German,Agent_008 (Daniel N),My payment of $352.99 failed but the amount was still deducted from my account.,Pending customer,,,18.0,False,False,3,1105
TKT-00031,2025-04-24 09:09:00,2025-04-27 09:27:00,twitter_dm,Refund / Return,Partial refund,Medium,Resolved,Negative,CloudSync Pro,Enterprise,Africa,English,Agent_009 (Yuki T),What's the status of refund request #REF-5295? It's been 3 days.,No action needed,72.3,2.8,22.6,False,False,4,966
TKT-00032,2024-02-08 16:31:00,2024-02-09 04:13:00,phone,Billing,Incorrect amount,High,Closed,Negative,CloudSync Pro,Enterprise,North America,English,Agent_004 (Omar F),I noticed an incorrect charge of $203.49 on my last bill. Can you look into invoice INV-9850?,Issue fixed by agent,11.7,2.7,5.3,False,False,4,743
TKT-00033,2024-01-22 08:50:00,2024-01-24 02:50:00,email,Billing,Incorrect amount,Medium,Escalated,Negative,DataDash,Starter,Europe,Spanish,Agent_004 (Omar F),I noticed an incorrect charge of $40.99 on my last bill. Can you look into invoice INV-4538?,Escalated to engineering,42.0,,19.2,False,True,1,270
TKT-00034,2025-06-09 10:28:00,2025-06-10 10:34:00,whatsapp,Billing,Subscription upgrade,High,Resolved,Neutral,CloudSync Pro,Professional,North America,German,Agent_005 (Sophie M),"Hi, I was charged $377.99 twice on Jun 17, 2025. My invoice is INV-5941. Please refund the duplicate.",No action needed,24.1,3.9,7.8,False,False,3,564
TKT-00035,2024-08-08 20:28:00,2024-08-12 06:22:00,chat,Feature Request,API access,Medium,Resolved,Negative,InvoiceFlow,Professional,Europe,Spanish,Agent_001 (Priya S),A dark mode option would be greatly appreciated for late-night work sessions.,Escalated to engineering,81.9,2.1,2.1,False,False,12,764
TKT-00036,2024-10-21 16:22:00,2024-10-22 17:52:00,web_form,Refund / Return,Policy inquiry,Medium,Resolved,Negative,DataDash,Starter,North America,German,Agent_008 (Daniel N),I was overcharged and would like a partial refund for the difference.,Escalated to engineering,25.5,2.6,15.8,False,False,1,370
TKT-00037,2025-06-27 13:24:00,2025-06-28 10:48:00,email,Technical Issue,Performance slow,High,Resolved,Very Negative,CloudSync Pro,Professional,North America,German,Unassigned,I'm unable to export a report since the latest update. Getting error code ERR-872.,Issue fixed by agent,21.4,1.5,,False,False,5,442
TKT-00038,2024-11-04 13:49:00,2024-11-06 21:37:00,email,Delivery / Shipping,Damaged item,Low,Resolved,Negative,InvoiceFlow,Professional,Europe,English,Agent_006 (Raj P),The item I received is damaged. I need a replacement or refund for order #83233.,Issue fixed by agent,55.8,2.4,17.8,False,False,8,160
TKT-00039,2025-01-05 09:27:00,2025-01-08 16:15:00,chat,Refund / Return,Partial refund,Medium,Resolved,Negative,DataDash,Free,North America,Spanish,Agent_006 (Raj P),What's the status of refund request #REF-2868? It's been 7 days.,Pending customer,78.8,2.9,8.5,False,False,11,303
TKT-00040,2025-04-04 17:55:00,2025-04-12 01:43:00,web_form,Technical Issue,Performance slow,Low,Resolved,Neutral,TaskBoard,Free,South Asia,English,Agent_007 (Elena V),I'm unable to invite a team member since the latest update. Getting error code ERR-460.,No action needed,175.8,3.1,20.0,True,False,2,1260
TKT-00041,2024-03-04 21:06:00,2024-03-08 01:30:00,whatsapp,Feature Request,UI improvement,Medium,Escalated,Negative,TaskBoard,Enterprise,North America,English,Agent_006 (Raj P),It would be really helpful if DataDash supported direct integration with Zapier.,Refund processed,76.4,,9.4,False,True,11,1225
TKT-00042,2024-03-24 11:58:00,2024-03-26 07:10:00,helpdesk_portal,Billing,Invoice request,Medium,Resolved,Neutral,InvoiceFlow,Starter,Europe,Japanese,Agent_006 (Raj P),I noticed an incorrect charge of $309.99 on my last bill. Can you look into invoice INV-6072?,Issue fixed by agent,43.2,3.0,7.5,False,False,6,996
TKT-00043,2024-05-14 19:09:00,2024-05-15 00:03:00,web_form,Billing,Subscription upgrade,Critical,Resolved,Neutral,TaskBoard,Professional,South Asia,Hindi,Agent_006 (Raj P),I noticed an incorrect charge of $374.49 on my last bill. Can you look into invoice INV-7731?,Pending customer,4.9,4.0,18.8,False,False,4,754
TKT-00044,2024-02-23 22:55:00,2024-02-25 19:37:00,email,Feature Request,New integration,Medium,Closed,Negative,TaskBoard,Starter,South Asia,English,Agent_006 (Raj P),It would be really helpful if InvoiceFlow supported direct integration with Jira.,Pending customer,44.7,2.4,9.0,False,False,2,768
TKT-00045,2025-04-25 21:39:00,2025-04-26 16:03:00,phone,Technical Issue,App crash,Medium,Resolved,Positive,DataDash,Free,North America,English,Agent_008 (Daniel N),The app keeps crashing when I try to upload a file. I'm on Windows 11.,No action needed,18.4,4.1,20.1,False,False,9,34
TKT-00046,2025-06-22 07:24:00,2025-06-25 16:18:00,email,Feature Request,New integration,Medium,Resolved,Negative,CloudSync Pro,Professional,Europe,French,Agent_005 (Sophie M),Is there any plan to expose an API for the reporting module?,Self-service guided,80.9,2.4,8.2,False,False,11,952
TKT-00047,2024-11-13 19:52:00,,email,Complaint,Repeat issue,Medium,In Progress,Neutral,InvoiceFlow,Free,Africa,Spanish,Agent_009 (Yuki T),Your refund policy is very unfair. I'm considering leaving the platform.,Self-service guided,,,8.2,False,False,12,1019
TKT-00048,2024-10-29 16:28:00,,email,Technical Issue,Data sync issue,High,Open,Neutral,DataDash,Enterprise,Europe,English,Agent_001 (Priya S),My data isn't syncing across devices. Last successful sync was 8 days ago.,Self-service guided,,,12.4,False,False,3,64
TKT-00049,2025-01-14 18:28:00,,chat,Billing,Duplicate charge,Medium,Open,Very Negative,CloudSync Pro,Starter,Southeast Asia,Hindi,Agent_006 (Raj P),I noticed an incorrect charge of $276.49 on my last bill. Can you look into invoice INV-6150?,Escalated to engineering,,,6.4,False,False,8,440
TKT-00050,2024-11-23 18:45:00,2024-11-25 16:09:00,phone,Complaint,Repeat issue,Low,Resolved,Very Negative,CloudSync Pro,Starter,Middle East,English,Agent_001 (Priya S),The agent I spoke to was dismissive and unhelpful. I'd like to escalate.,Escalated to engineering,45.4,1.6,8.9,False,False,9,266
TKT-00051,2025-04-05 21:43:00,2025-04-10 12:13:00,helpdesk_portal,Feature Request,Export options,Low,Escalated,Neutral,InvoiceFlow,Professional,South Asia,English,Unassigned,"Can you add an option to export reports in Excel format, not just CSV?",Escalated to engineering,110.5,,,False,True,5,403
TKT-00052,2024-12-11 08:52:00,2024-12-14 17:04:00,phone,Feature Request,New integration,Medium,Resolved,Neutral,InvoiceFlow,Free,South Asia,English,Agent_006 (Raj P),It would be really helpful if InvoiceFlow supported direct integration with HubSpot.,Escalated to engineering,80.2,3.3,1.8,True,False,8,852
TKT-00053,2024-11-22 14:29:00,2024-11-24 20:05:00,twitter_dm,Account Access,Email change,Low,Resolved,Negative,InvoiceFlow,Enterprise,Southeast Asia,English,Agent_004 (Omar F),My account appears to be locked. I haven't violated any terms.,Refund processed,53.6,2.5,12.4,False,False,5,1019
TKT-00054,2024-01-09 10:27:00,2024-01-09 15:03:00,chat,Billing,Payment failure,Critical,Escalated,Negative,CloudSync Pro,Free,Europe,Arabic,Agent_006 (Raj P),My payment of $396.49 failed but the amount was still deducted from my account.,Self-service guided,4.6,,18.4,False,True,10,1394
TKT-00055,2024-02-09 11:45:00,2024-02-12 23:45:00,email,Feature Request,API access,Low,Resolved,Positive,SecureVault,Starter,South Asia,Hindi,Agent_004 (Omar F),Is there any plan to expose an API for the reporting module?,Issue fixed by agent,84.0,4.7,7.3,False,False,6,679
TKT-00056,2024-08-21 08:37:00,2024-08-21 17:25:00,chat,Feature Request,Dark mode,Critical,Closed,Negative,TaskBoard,Free,Southeast Asia,Japanese,Agent_008 (Daniel N),Is there any plan to expose an API for the reporting module?,No action needed,8.8,2.5,14.7,False,False,12,128
TKT-00057,2024-09-27 22:12:00,2024-10-01 13:06:00,chat,Delivery / Shipping,Damaged item,Medium,Escalated,Negative,DataDash,Enterprise,Europe,Hindi,Agent_005 (Sophie M),The item I received is damaged. I need a replacement or refund for order #25974.,Escalated to engineering,86.9,,21.5,False,True,6,300
TKT-00058,2024-05-20 10:39:00,2024-05-26 09:21:00,email,Technical Issue,Login error,Low,Resolved,Negative,DataDash,Starter,North America,Hindi,Agent_009 (Yuki T),I'm unable to upload a file since the latest update. Getting error code ERR-438.,Escalated to engineering,142.7,3.0,23.5,False,False,11,975
TKT-00059,2024-06-28 20:56:00,2024-07-05 09:32:00,whatsapp,Account Access,Password reset,Low,Resolved,Very Negative,InvoiceFlow,Free,Africa,Hindi,Agent_007 (Elena V),I need to update the email address associated with my account.,Policy exception granted,156.6,1.9,3.3,False,False,5,395
TKT-00060,2025-02-19 20:32:00,2025-02-21 14:08:00,chat,Refund / Return,Refund status,Medium,Resolved,Negative,InvoiceFlow,Starter,North America,French,Agent_002 (James T),I'd like to request a full refund for my recent purchase. Order #53204.,Refund processed,41.6,2.3,8.7,False,False,11,243
TKT-00061,2024-05-16 22:09:00,2024-05-21 03:39:00,whatsapp,Account Access,Account deletion,Low,Closed,Negative,SecureVault,Professional,Southeast Asia,Japanese,Agent_004 (Omar F),I'm having trouble with 2FA — the codes aren't working on my new phone.,Issue fixed by agent,101.5,2.8,21.7,False,False,9,307
TKT-00062,2024-02-29 21:43:00,2024-03-02 07:31:00,chat,Billing,Duplicate charge,High,Resolved,Negative,InvoiceFlow,Enterprise,Europe,English,Agent_002 (James T),Could you send me a detailed invoice for the period Jan–Mar 2024? I need it for tax purposes.,Self-service guided,33.8,2.3,4.4,False,False,11,1323
TKT-00063,2024-05-01 12:34:00,2024-05-03 10:52:00,twitter_dm,Complaint,Rude agent,Medium,Resolved,Very Negative,SecureVault,Free,Europe,Arabic,Agent_002 (James T),I've contacted support 4 times about the same issue and it's still unresolved.,Pending customer,46.3,1.2,21.0,False,False,1,1353
TKT-00064,2025-02-15 21:14:00,,whatsapp,Technical Issue,Data sync issue,High,Open,Very Negative,CloudSync Pro,Free,North America,German,Agent_001 (Priya S),I'm unable to export a report since the latest update. Getting error code ERR-691.,No action needed,,,10.0,False,False,9,1212
TKT-00065,2024-06-01 16:24:00,2024-06-02 06:18:00,web_form,Refund / Return,Policy inquiry,High,Resolved,Negative,DataDash,Enterprise,Latin America,Spanish,Agent_003 (Lena K),What's the status of refund request #REF-4978? It's been 10 days.,Self-service guided,13.9,2.2,15.6,False,False,6,190
TKT-00066,2024-08-01 17:19:00,2024-08-03 07:55:00,helpdesk_portal,Account Access,Password reset,High,Resolved,Positive,InvoiceFlow,Free,North America,Hindi,Agent_007 (Elena V),My account appears to be locked. I haven't violated any terms.,Issue fixed by agent,38.6,4.3,8.7,False,False,8,202
TKT-00067,2025-03-03 16:09:00,2025-03-04 06:27:00,helpdesk_portal,Refund / Return,Partial refund,High,Resolved,Very Negative,CloudSync Pro,Free,Europe,German,Agent_001 (Priya S),What's the status of refund request #REF-9954? It's been 4 days.,Refund processed,14.3,1.2,21.4,False,False,1,1074
TKT-00068,2025-01-17 08:39:00,2025-01-18 13:03:00,email,Billing,Subscription upgrade,High,Resolved,Very Negative,TaskBoard,Enterprise,Europe,German,Agent_001 (Priya S),Could you send me a detailed invoice for the period Oct–Dec 2024? I need it for tax purposes.,Refund processed,28.4,1.8,21.8,False,False,2,1074
TKT-00069,2024-03-23 08:05:00,2024-03-27 06:29:00,chat,Billing,Invoice request,Low,Closed,Negative,CloudSync Pro,Starter,Europe,Hindi,Unassigned,Could you send me a detailed invoice for the period Jan–Mar 2024? I need it for tax purposes.,Issue fixed by agent,94.4,2.2,,False,False,12,1161
TKT-00070,2025-02-11 09:19:00,2025-02-13 20:43:00,phone,Account Access,Account locked,Low,Closed,Positive,SecureVault,Free,South Asia,English,Unassigned,I need to update the email address associated with my account.,Refund processed,59.4,5.0,,False,False,11,560
TKT-00071,2024-03-16 09:17:00,2024-03-17 14:23:00,chat,Delivery / Shipping,Wrong item,Medium,Resolved,Neutral,DataDash,Professional,North America,Spanish,Agent_003 (Lena K),The tracking for order #27367 hasn't updated in 14 days.,Issue fixed by agent,29.1,3.4,13.4,False,False,2,54
TKT-00072,2024-09-05 12:43:00,2024-09-07 10:07:00,web_form,Billing,Incorrect amount,Medium,Closed,Negative,TaskBoard,Starter,North America,German,Agent_005 (Sophie M),My payment of $159.49 failed but the amount was still deducted from my account.,,45.4,2.9,17.3,False,False,10,401
TKT-00073,2024-05-19 16:20:00,2024-05-24 19:14:00,chat,Account Access,Account locked,Low,Resolved,Positive,TaskBoard,Enterprise,Europe,English,Agent_008 (Daniel N),I need to update the email address associated with my account.,Escalated to engineering,122.9,4.6,13.1,False,False,9,56
TKT-00074,2024-09-04 15:42:00,2024-09-05 20:48:00,helpdesk_portal,Complaint,Policy dissatisfaction,Medium,Resolved,Negative,CloudSync Pro,Enterprise,Southeast Asia,English,Agent_005 (Sophie M),Your refund policy is very unfair. I'm considering leaving the platform.,Escalated to engineering,29.1,2.8,15.8,False,False,11,1255
TKT-00075,2024-08-14 21:23:00,2024-08-15 05:05:00,email,Billing,Subscription upgrade,Critical,Resolved,Negative,TaskBoard,Starter,Latin America,English,Agent_005 (Sophie M),I noticed an incorrect charge of $181.00 on my last bill. Can you look into invoice INV-2712?,Refund processed,7.7,2.8,12.6,False,False,2,898
TKT-00076,2025-06-12 12:35:00,,email,Delivery / Shipping,Wrong item,Medium,Open,Positive,InvoiceFlow,Starter,North America,Spanish,Agent_009 (Yuki T),The item I received is damaged. I need a replacement or refund for order #13826.,No action needed,,,14.3,False,False,12,440
TKT-00077,2025-06-24 17:38:00,,chat,Billing,Invoice request,High,Open,Very Negative,CloudSync Pro,Starter,Middle East,English,Agent_003 (Lena K),Could you send me a detailed invoice for the period Oct–Dec 2024? I need it for tax purposes.,Pending customer,,,7.4,False,False,12,290
TKT-00078,2024-05-23 12:20:00,2024-05-26 18:56:00,whatsapp,Account Access,Account deletion,Medium,Resolved,Neutral,CloudSync Pro,Professional,South Asia,Japanese,Agent_005 (Sophie M),I can't log in to my account. The password reset email is not arriving.,Refund processed,78.6,3.7,10.7,False,False,10,64
TKT-00079,2024-10-01 18:34:00,,web_form,Refund / Return,Full refund,Low,In Progress,Positive,CloudSync Pro,Professional,Southeast Asia,English,Agent_005 (Sophie M),What's the status of refund request #REF-2923? It's been 6 days.,Refund processed,,,5.1,False,False,12,719
TKT-00080,2024-10-26 16:36:00,2024-10-28 05:48:00,whatsapp,Refund / Return,Policy inquiry,Medium,Resolved,Negative,TaskBoard,Enterprise,Middle East,Hindi,Agent_006 (Raj P),I'd like to request a full refund for my recent purchase. Order #98635.,Issue fixed by agent,37.2,2.1,15.2,False,False,7,926
TKT-00081,2024-04-05 21:40:00,2024-04-07 02:58:00,chat,Billing,Payment failure,High,Resolved,Very Negative,TaskBoard,Enterprise,Southeast Asia,English,Agent_006 (Raj P),"Hi, I was charged $412.99 twice on Feb 11, 2025. My invoice is INV-4568. Please refund the duplicate.",Pending customer,29.3,1.8,21.5,False,False,1,204
TKT-00082,2024-11-05 12:55:00,2024-11-07 02:43:00,chat,Feature Request,UI improvement,High,Closed,Positive,CloudSync Pro,Enterprise,Europe,Japanese,Agent_009 (Yuki T),It would be really helpful if DataDash supported direct integration with HubSpot.,Pending customer,37.8,4.0,11.5,False,False,4,1064
TKT-00083,2024-11-16 18:56:00,2024-11-20 02:02:00,email,Feature Request,API access,Low,Closed,Negative,SecureVault,Free,Europe,English,Agent_007 (Elena V),"Can you add an option to export reports in Excel format, not just CSV?",Issue fixed by agent,79.1,2.1,2.5,False,False,10,787
TKT-00084,2024-11-04 13:33:00,,web_form,Technical Issue,Data sync issue,Medium,In Progress,Very Negative,InvoiceFlow,Professional,North America,English,Agent_009 (Yuki T),I'm unable to connect an integration since the latest update. Getting error code ERR-215.,Issue fixed by agent,,,23.7,False,False,3,793
TKT-00085,2024-03-02 19:32:00,2024-03-04 10:08:00,email,Refund / Return,Policy inquiry,Medium,Resolved,Negative,TaskBoard,Professional,Latin America,English,Agent_003 (Lena K),What's the status of refund request #REF-9788? It's been 3 days.,Issue fixed by agent,38.6,2.4,15.3,False,False,11,1318
TKT-00086,2024-06-28 10:00:00,2024-07-01 07:00:00,chat,Billing,Duplicate charge,Medium,Closed,Negative,CloudSync Pro,Starter,North America,Hindi,Agent_003 (Lena K),I noticed an incorrect charge of $259.49 on my last bill. Can you look into invoice INV-9474?,No action needed,69.0,2.3,1.6,False,False,10,1286
TKT-00087,2025-06-05 07:02:00,2025-06-08 14:50:00,email,Billing,Duplicate charge,Medium,Resolved,Negative,InvoiceFlow,Starter,Europe,Hindi,Agent_007 (Elena V),I noticed an incorrect charge of $28.49 on my last bill. Can you look into invoice INV-7274?,Issue fixed by agent,79.8,2.9,7.7,False,False,10,764
TKT-00088,2024-03-29 21:00:00,,helpdesk_portal,Billing,Payment failure,Medium,In Progress,Positive,DataDash,Starter,North America,Arabic,Agent_008 (Daniel N),I noticed an incorrect charge of $154.99 on my last bill. Can you look into invoice INV-4974?,Self-service guided,,,22.4,True,False,9,710
TKT-00089,2024-03-02 11:45:00,2024-03-04 01:51:00,chat,Feature Request,New integration,Medium,Resolved,Positive,TaskBoard,Professional,Europe,English,Unassigned,"Can you add an option to export reports in Excel format, not just CSV?",Self-service guided,38.1,4.7,,False,False,5,535
TKT-00090,2024-04-18 12:28:00,2024-04-18 21:04:00,phone,Refund / Return,Refund status,Critical,Closed,Negative,DataDash,Starter,Europe,English,Agent_008 (Daniel N),I'd like to request a full refund for my recent purchase. Order #99922.,Issue fixed by agent,8.6,2.2,20.6,False,False,12,509
TKT-00091,2024-04-14 11:07:00,2024-04-15 06:01:00,helpdesk_portal,Complaint,Rude agent,Medium,Resolved,Positive,TaskBoard,Enterprise,North America,Hindi,Agent_005 (Sophie M),I've contacted support 2 times about the same issue and it's still unresolved.,Issue fixed by agent,18.9,4.0,11.1,False,False,10,888
TKT-00092,2024-09-08 16:31:00,2024-09-10 16:13:00,email,Refund / Return,Policy inquiry,Medium,Resolved,Positive,CloudSync Pro,Starter,North America,Arabic,Agent_001 (Priya S),What's the status of refund request #REF-9907? It's been 14 days.,Refund processed,47.7,5.0,18.8,False,False,9,993
TKT-00093,2025-01-01 14:10:00,2025-01-02 15:22:00,helpdesk_portal,Technical Issue,Login error,Medium,Resolved,Neutral,CloudSync Pro,Free,South Asia,English,Agent_008 (Daniel N),Performance has been extremely slow on my end. Pages take 20+ seconds to load.,Self-service guided,25.2,3.9,13.6,False,False,4,1009
TKT-00094,2024-06-30 17:03:00,,chat,Account Access,Password reset,Low,Open,Positive,InvoiceFlow,Starter,North America,Hindi,Agent_008 (Daniel N),My account appears to be locked. I haven't violated any terms.,Self-service guided,,,7.8,False,False,12,895
TKT-00095,2024-11-10 16:08:00,,helpdesk_portal,Refund / Return,Partial refund,Critical,In Progress,Negative,SecureVault,Enterprise,Southeast Asia,English,Agent_006 (Raj P),I'd like to request a full refund for my recent purchase. Order #28434.,Issue fixed by agent,,,5.8,False,False,3,1303
TKT-00096,2024-01-02 08:24:00,2024-01-06 11:30:00,email,General Inquiry,Documentation,Low,Resolved,Negative,SecureVault,Starter,Europe,English,Agent_003 (Lena K),Does DataDash integrate with Salesforce?,Issue fixed by agent,99.1,2.8,0.9,True,False,5,215
